term,importance
bmi,0.46965436980151476
age,0.24308160712979776
physical_act,0.2060426148122273
raceeth,0.1909369192973879
income,0.13942276216755042
female,0.13680729259957955
educ,0.08052707358661435
urban,0.06740827051573783
marital_status,0.0372497862546057
smoking,0.015939656031665514
