model,coef,OR,OR_low,OR_high,p_value
unweighted_unadjusted_logit,-0.6232825400554561,0.5361815084563891,0.49961376143879965,0.5754257232279724,5.210034328351322e-67
unweighted_adjusted_logit,-0.4152863066032705,0.6601512479841609,0.6111795413063038,0.7130468884537419,4.566411953706943e-26
ipw_marginal_logit,-0.3685028026102065,0.6917692708357807,0.659436229358008,0.725687644639351,1.9229304749359792e-51
ipw_adjusted_logit,-0.400078348616739,0.670267529444588,0.637572348745282,0.7046393431457234,2.0755819547307404e-55
