model,RMSE,MAE,R2,alpha,l1_ratio
elastic_net,0.7941909754858386,0.69691024551562,0.1623897083419413,0.1610262027560939,0.9
ebm,0.828504375256162,0.714857196219129,0.0884474260760848,,
gbm,1.0323654159194924,0.8747071943185906,-0.4153342092445431,,
linear_regression,2.1984237997265255,1.6219855396438452,-5.418225079841293,,
