model,AUC,PR_AUC,Accuracy,Sensitivity,Specificity,Precision,F1,Brier,LogLoss,threshold
spline_logit,0.7112569293209159,0.3960281004357732,0.7800536939445163,0.0937710816280638,0.974851598902151,0.5141800246609125,0.1586154431342716,0.1557990001869645,0.4794437066753524,0.5
ebm,0.701543532637,0.3935277029207865,0.7837613918806959,0.0764617691154422,0.9844713890661562,0.5828571428571429,0.1351888667992047,0.15674805629156,0.4824297216413676,0.5
mlp,0.6999683789247686,0.3854321566722234,0.6101077050538525,0.6896551724137931,0.5875345671133801,0.3217908359566282,0.4388266157882184,0.2203934980405987,0.6270392004424397,0.5
gbm,0.6994443907593109,0.3863343571836352,0.7812758906379453,0.0502248875562218,0.988725803020634,0.5583333333333333,0.0921595598349381,0.1573667642105401,0.4838986377959591,0.5
rf,0.6965463503092104,0.3840859535044504,0.6803645401822701,0.5794602698650675,0.7089980855137205,0.3610462400747314,0.4448920863309352,0.1990534073760496,0.579916631336165,0.5
elastic_net_logit,0.6954183246602609,0.3791957382810953,0.6420878210439105,0.6229385307346327,0.6475218038715167,0.3340032154340836,0.434850863422292,0.2199546361141308,0.6322154845531751,0.5
logit,0.6949115582604358,0.3793396261273046,0.63976801988401,0.6229385307346327,0.6445437141033823,0.3321342925659472,0.4332638164754953,0.2202023913643188,0.632620698689754,0.5
