epoch,train_loss,val_loss
1,0.9615846432029042,0.992775559425354
2,0.9542292602043385,0.9860978614200245
3,0.9467354687113517,0.9854061549360101
4,0.9467641834805006,0.9805959192189303
5,0.9413042133309368,0.9835041544654153
6,0.9371907230349847,0.985209508375688
7,0.9385070526122539,0.9845473766326904
8,0.9347646236790123,0.989950646053661
9,0.933212718578995,0.9841127395629883
10,0.9292810158927265,0.9914294318719343
11,0.9283275106263755,0.9873419837518171
12,0.9255718696999061,0.9922421086918224
13,0.9232267220617452,0.9868595816872336
14,0.9204924440104489,0.9895884069529447
15,0.918962402913389,0.9925941716540944
16,0.9172965825466642,0.9960149364037947
17,0.9186797169653442,0.9881484996188771
18,0.9136775989923237,0.9947904240001332
19,0.912142530201405,0.9925639575177972
20,0.910342167672304,0.9905813282186334
21,0.9051330472556586,1.001351378180764
22,0.9050188357121122,0.9940694191239097
23,0.9023481256678378,0.9973064877770164
24,0.9026450942340164,1.0022594007578762
25,0.9013207751576562,1.0019851977174932
26,0.8963953989824097,1.0016343810341575
27,0.8961166490683343,0.9976841915737499
28,0.89127946421762,0.9997597445141185
29,0.8890072586142042,1.0013114972548052
30,0.8878209422888472,0.9990233670581471
31,0.8891479168174894,0.9994692748243158
32,0.8848205773336981,1.0025282502174377
33,0.8811934676230043,1.0040600570765408
34,0.8799324434402409,1.0058474053036084
35,0.878350767627402,1.0113182013685054
36,0.876182251392308,1.0055615576830776
37,0.8773709452883617,1.0037429441105237
38,0.8708785027569843,1.0097690495577725
39,0.8698010236609631,1.0099707300012761
40,0.8674686020457659,1.0080046653747559
41,0.8642433198499794,1.0099213448437778
42,0.8655574629639771,1.0140409903092817
43,0.8620504741504436,1.0115531412037937
44,0.8615046424805605,1.014299365607175
