model,AUC,PR_AUC,Accuracy,Sensitivity,Specificity,Precision,F1,Brier,LogLoss,threshold
logit,0.6949115582604358,0.3793396261273046,0.63976801988401,0.6229385307346327,0.6445437141033823,0.33213429256594723,0.43326381647549533,0.22020239136431888,0.632620698689754,0.5
elastic_net_logit,0.6954183246602609,0.3791957382810953,0.6420878210439105,0.6229385307346327,0.6475218038715167,0.3340032154340836,0.434850863422292,0.21995463611413088,0.6322154845531751,0.5
