variable,coef,OR,OR_low,OR_high,p_value
physical_act_1,-0.4442068655107779,0.6413327374796715,0.5933938599950932,0.6931444827665899,3.7910763334659875e-29
female_1,-0.3211970952678433,0.7252802875893553,0.6712772396418637,0.7836277837251615,4.083800011918544e-16
raceeth_1,0.5074042620879287,1.6609741408509915,1.50963823737414,1.827480934355769,2.2364245538156813e-25
raceeth_2,0.5522554363206783,1.737166671516051,1.5496183399456613,1.94741373848994,2.6872163025303125e-21
raceeth_3,0.6470735555308861,1.9099432995738075,1.5617239958297982,2.335805441504173,2.9615544470275065e-10
educ_2,-0.17502404209269154,0.8394368387083139,0.7600998831954789,0.9270547486709562,0.0005498073012474752
educ_3,-0.17490318168241756,0.8395382995202135,0.7517681017927258,0.9375558163222292,0.0019064749588627045
educ_4,-0.250617593496051,0.7783199492682586,0.6865957080144008,0.8822978884922463,8.953693203996182e-05
marital_status_2,-0.20242440676569623,0.8167482209042123,0.7349599122592525,0.9076381517185234,0.00016985888178892814
marital_status_3,-0.05222040332047076,0.949119654664795,0.8532875189181123,1.0557146318197463,0.3362551790521169
marital_status_4,-0.21590276043724999,0.8058136550313778,0.6771412187797723,0.9589368194202526,0.015001392936366908
income_1,-0.1830336776869194,0.8327401105041176,0.7577464683999187,0.9151558213220494,0.00014393707044489247
income_2,-0.2802411998377959,0.7556014685228621,0.6774091796222358,0.8428193718193971,4.953607926843833e-07
income_3,-0.5050848414117277,0.6034543753340106,0.5239207036775532,0.6950616392015715,2.478511617398019e-12
smoking_1,-0.006558692107568649,0.9934627691685786,0.9227958471419369,1.069541304049988,0.8616994137042593
urban_1,-0.08425944982137341,0.9191927407626839,0.8546492101311233,0.9886106307185197,0.02330881193626004
