model,RMSE,MAE,R2,alpha,l1_ratio,coverage_q10_q90,mean_interval_width_q10_q90
elastic_net,0.7941909754858386,0.69691024551562,0.1623897083419413,0.1610262027560939,0.9,,
ebm,0.828504375256162,0.714857196219129,0.0884474260760848,,,,
rf,0.8347038633581433,0.718940666455321,0.0747545534690866,,,,
quant_median,0.8812375274752359,0.7392827414832871,-0.0312835154573383,,,0.6666666666666666,1.9062686685070829
mlp,0.9440455509769592,0.7634153161555284,-0.1835265611867871,,,,
gbm,1.0323654159194924,0.8747071943185906,-0.4153342092445431,,,,
linear_regression,2.1984237997265255,1.6219855396438452,-5.418225079841293,,,,
