model,calib_intercept,calib_slope,mean_pred,mean_obs,Brier,AUC,PR_AUC
spline_logit,-0.0003864198433238264,0.999531751765604,0.2211044811817294,0.22108978820721886,0.15579900018696452,0.7112569293209159,0.3960281004357732
ebm,0.019434616606749076,1.006074121424309,0.21911306604520644,0.22104391052195527,0.15674805629156005,0.701543532637,0.39352770292078654
gbm,-0.007691616121464684,0.9808633839561101,0.2188935436662856,0.22104391052195527,0.15736676421054013,0.6994443907593109,0.3863343571836352
rf,-1.0292648498086068,0.9749562808813166,0.4152099218423216,0.22104391052195527,0.19905340737604965,0.6965463503092104,0.3840859535044504
elastic_net_logit,-1.248818628997615,0.9002244687952006,0.46419974722044893,0.22104391052195527,0.21995463611413088,0.6954183246602609,0.3791957382810953
logit,-1.249700245893144,0.8648817040097025,0.46305746151968824,0.22104391052195527,0.22020239136431888,0.6949115582604358,0.3793396261273046
mlp,-1.2475415393351164,1.0140201135063143,0.46327277537431644,0.22104391052195527,0.22039349820185075,0.6999683789247686,0.38543215667222347
