variable,value,n,pct
diabetes,0,15667,77.89102117927811
diabetes,1,4447,22.108978820721887
physical_act,0,11479,57.06970269464055
physical_act,1,8635,42.93029730535945
female,0,8677,43.13910708958934
female,1,11437,56.860892910410655
raceeth,0,13223,65.74028040171025
raceeth,1,3786,18.822710549865764
raceeth,2,2491,12.384408869444167
raceeth,3,614,3.052600178979815
educ,1,3944,19.608233071492492
educ,2,6829,33.9514765834742
educ,3,4926,24.490404693248482
educ,4,4415,21.949885651784825
marital_status,1,11667,58.004375062145776
marital_status,2,3523,17.515163567664313
marital_status,3,3865,19.21547181067913
marital_status,4,1059,5.264989559510788
income,0,6831,33.96141990653276
income,1,5377,26.732624042955155
income,2,4637,23.05359451128567
income,3,3269,16.25236153922641
smoking,0,8691,43.208710350999304
smoking,1,11423,56.791289649000696
urban,0,9781,48.627821417917865
urban,1,10333,51.37217858208213
