,count,mean,std,min,25%,50%,75%,max
age,20114.0,66.90096450233668,11.156843256884903,51.0,57.0,66.0,75.0,109.0
bmi,20114.0,28.961071890225714,6.351231648584926,7.0,24.7,28.1,32.2,75.8
pr_treat,20114.0,0.4293029743391936,0.1718214121458155,0.021037296924223608,0.2937959194839459,0.416678667073068,0.5593645858351679,0.8703390418401382
ipw,20114.0,1.9978618760447084,0.8979508088150949,1.0214893752929781,1.4211596619892464,1.715160449835699,2.2616524998492076,14.862955600739
