model,RMSE,MAE,R2,alpha,l1_ratio
linear_regression,2.1984237997265255,1.6219855396438452,-5.418225079841293,,
elastic_net,0.7941909754858386,0.69691024551562,0.16238970834194133,0.16102620275609392,0.9
