model,n,pred_mean,obs_mean
linear_regression,6,-0.9107064820750209,0.9381352039710223
linear_regression,6,-0.036260864144049526,1.0239103047876197
linear_regression,6,0.7749845810663758,0.8710054080194419
linear_regression,6,1.7777757745831018,0.7843121519903186
linear_regression,6,3.959659835684613,0.9894573183476746
elastic_net,6,0.43238628241765537,0.6711022303266868
elastic_net,6,0.6825565901723113,0.23276814280387517
elastic_net,6,0.8294840896811587,0.6962470071729894
elastic_net,6,1.012403039446432,1.7602485991719448
elastic_net,6,1.2722371441214393,1.246454407640581
gbm,6,0.008899493041241324,0.920531506468428
gbm,6,0.3862708773505708,1.290376999847455
gbm,6,0.5054309109229953,0.7916129054746218
gbm,6,0.7653411079467691,0.8482508793302905
gbm,6,1.2663392832958296,0.7560480959952817
rf,6,0.391422408681192,0.6711022303266868
rf,6,0.6173666943828957,0.40663341743793646
rf,6,0.7780856648849538,1.0721871217787755
rf,6,0.8998954546839061,1.0699035665768892
rf,6,1.083408087553802,1.3869940509957892
ebm,6,0.20118696102767794,0.8968027495236681
ebm,6,0.5632663201002152,0.2723056464094567
ebm,6,0.8001947741964791,0.8518420214034267
ebm,6,0.998783934518226,0.5956822113677765
ebm,6,1.2535990106183617,1.990187758411749
quant_median,6,0.19863159212033324,0.7260656690319348
quant_median,6,0.4090615776497186,0.8923480098649105
quant_median,6,0.6650945508736686,0.6480020109589115
quant_median,6,0.8155315115741351,1.4139944303794367
quant_median,6,1.1852184574173514,0.9264102668808837
mlp,6,0.25382003000000003,0.8422433380576743
mlp,6,0.45942806999999997,0.9053881217054071
mlp,6,0.57996271,1.0529939696665063
mlp,6,0.7900003833333332,0.7840386375577902
mlp,6,1.0539906749999999,1.0221563201286992
